,Year,Quater,Transaction_type,Total_Transaction,Transaction_amount,state_name
0,2022,1,Peer-to-peer payments,342649,1682328505.7254477,Andaman and Nicobar
1,2022,1,Merchant payments,284298,370091558.68373305,Andaman and Nicobar
2,2022,1,Recharge & bill payments,163401,71300133.66101266,Andaman and Nicobar
3,2022,1,Financial Services,1757,2869682.0229511866,Andaman and Nicobar
4,2022,1,Others,2643,2440321.9820225406,Andaman and Nicobar
5,2022,2,Merchant payments,449540,510838980.9061847,Andaman and Nicobar
6,2022,2,Peer-to-peer payments,437606,2088309073.4552848,Andaman and Nicobar
7,2022,2,Recharge & bill payments,179515,82232936.61795366,Andaman and Nicobar
8,2022,2,Financial Services,1448,2089862.3927160464,Andaman and Nicobar
9,2022,2,Others,3108,2449496.7081265687,Andaman and Nicobar
10,2022,3,Merchant payments,716105,693438186.296541,Andaman and Nicobar
11,2022,3,Peer-to-peer payments,622217,2514535154.56483,Andaman and Nicobar
12,2022,3,Recharge & bill payments,240766,97748065.62714244,Andaman and Nicobar
13,2022,3,Financial Services,1814,2166304.9779766416,Andaman and Nicobar
14,2022,3,Others,3477,2744060.670897343,Andaman and Nicobar
15,2022,4,Merchant payments,956536,906365300.6585041,Andaman and Nicobar
16,2022,4,Peer-to-peer payments,768758,2961630584.8271313,Andaman and Nicobar
17,2022,4,Recharge & bill payments,256050,110037119.66941178,Andaman and Nicobar
18,2022,4,Financial Services,2499,3533987.2301130476,Andaman and Nicobar
19,2022,4,Others,3692,3107412.043626394,Andaman and Nicobar
20,2019,1,Recharge & bill payments,15263,6611459.8729725825,Andaman and Nicobar
21,2019,1,Peer-to-peer payments,13119,91808345.86839552,Andaman and Nicobar
22,2019,1,Merchant payments,1759,3266589.8469614363,Andaman and Nicobar
23,2019,1,Financial Services,62,116250.43671861099,Andaman and Nicobar
24,2019,1,Others,283,497094.6484417205,Andaman and Nicobar
25,2019,2,Recharge & bill payments,14676,7242448.256212333,Andaman and Nicobar
26,2019,2,Peer-to-peer payments,14481,107525358.66652842,Andaman and Nicobar
27,2019,2,Merchant payments,4031,4702152.616619372,Andaman and Nicobar
28,2019,2,Financial Services,124,113278.91371326067,Andaman and Nicobar
29,2019,2,Others,377,671471.222589792,Andaman and Nicobar
30,2019,3,Recharge & bill payments,16219,8171737.705916681,Andaman and Nicobar
31,2019,3,Peer-to-peer payments,13767,101079821.10344616,Andaman and Nicobar
32,2019,3,Merchant payments,3519,4428734.574846684,Andaman and Nicobar
33,2019,3,Financial Services,50,158857.94315586874,Andaman and Nicobar
34,2019,3,Others,215,232624.75992853564,Andaman and Nicobar
35,2019,4,Peer-to-peer payments,18128,121493224.30754511,Andaman and Nicobar
36,2019,4,Recharge & bill payments,13851,9538690.916424634,Andaman and Nicobar
37,2019,4,Merchant payments,2920,5247500.487902376,Andaman and Nicobar
38,2019,4,Financial Services,60,295937.2110898865,Andaman and Nicobar
39,2019,4,Others,200,263177.5944158883,Andaman and Nicobar
40,2021,1,Peer-to-peer payments,105458,665391395.715478,Andaman and Nicobar
41,2021,1,Recharge & bill payments,84119,37160922.86506996,Andaman and Nicobar
42,2021,1,Merchant payments,53090,78606979.05751458,Andaman and Nicobar
43,2021,1,Financial Services,884,1469351.0852598653,Andaman and Nicobar
44,2021,1,Others,1201,1077918.666433228,Andaman and Nicobar
45,2021,2,Peer-to-peer payments,132772,748382044.7707307,Andaman and Nicobar
46,2021,2,Recharge & bill payments,120911,43691961.26275121,Andaman and Nicobar
47,2021,2,Merchant payments,85143,103707408.50908463,Andaman and Nicobar
48,2021,2,Financial Services,960,2038521.5136710338,Andaman and Nicobar
49,2021,2,Others,1628,1327080.0560584562,Andaman and Nicobar
50,2021,3,Peer-to-peer payments,192321,1077787837.1562996,Andaman and Nicobar
51,2021,3,Recharge & bill payments,136010,51243450.85925055,Andaman and Nicobar
52,2021,3,Merchant payments,118340,176991328.21761328,Andaman and Nicobar
53,2021,3,Financial Services,990,2351013.441729573,Andaman and Nicobar
54,2021,3,Others,2103,1650766.1267105162,Andaman and Nicobar
55,2021,4,Peer-to-peer payments,285778,1544932663.2744582,Andaman and Nicobar
56,2021,4,Merchant payments,210164,322842314.62433755,Andaman and Nicobar
57,2021,4,Recharge & bill payments,135608,59243518.11464358,Andaman and Nicobar
58,2021,4,Financial Services,1718,3137965.167474068,Andaman and Nicobar
59,2021,4,Others,2855,2453640.142743944,Andaman and Nicobar
60,2020,1,Peer-to-peer payments,18324,142332401.79234773,Andaman and Nicobar
61,2020,1,Recharge & bill payments,18268,10850414.023977457,Andaman and Nicobar
62,2020,1,Merchant payments,4424,7752871.558217709,Andaman and Nicobar
63,2020,1,Financial Services,66,208231.73071652642,Andaman and Nicobar
64,2020,1,Others,216,332393.19201521645,Andaman and Nicobar
65,2020,2,Recharge & bill payments,38125,17659622.73418829,Andaman and Nicobar
66,2020,2,Peer-to-peer payments,20303,141728757.73517442,Andaman and Nicobar
67,2020,2,Merchant payments,4004,9236375.740471343,Andaman and Nicobar
68,2020,2,Financial Services,175,706932.1397115812,Andaman and Nicobar
69,2020,2,Others,355,313313.0646014327,Andaman and Nicobar
70,2020,3,Recharge & bill payments,59310,24756220.875469353,Andaman and Nicobar
71,2020,3,Peer-to-peer payments,40697,289078946.7312394,Andaman and Nicobar
72,2020,3,Merchant payments,16096,22682992.238478824,Andaman and Nicobar
73,2020,3,Financial Services,572,961836.7129860274,Andaman and Nicobar
74,2020,3,Others,808,539449.7721868362,Andaman and Nicobar
75,2020,4,Peer-to-peer payments,81439,533316526.1814983,Andaman and Nicobar
76,2020,4,Recharge & bill payments,80811,33710030.534383245,Andaman and Nicobar
77,2020,4,Merchant payments,59391,56867468.940003954,Andaman and Nicobar
78,2020,4,Financial Services,965,1880546.9672370641,Andaman and Nicobar
79,2020,4,Others,1925,1508083.6917299272,Andaman and Nicobar
80,2018,1,Recharge & bill payments,4200,1845307.4673655091,Andaman and Nicobar
81,2018,1,Peer-to-peer payments,1871,12138655.299749982,Andaman and Nicobar
82,2018,1,Merchant payments,298,452507.168646613,Andaman and Nicobar
83,2018,1,Financial Services,33,10601.419933464953,Andaman and Nicobar
84,2018,1,Others,256,184689.8662902223,Andaman and Nicobar
85,2018,2,Recharge & bill payments,6735,2320944.731074479,Andaman and Nicobar
86,2018,2,Peer-to-peer payments,3575,24511925.231047668,Andaman and Nicobar
87,2018,2,Merchant payments,603,1024491.0133579008,Andaman and Nicobar
88,2018,2,Financial Services,59,121336.0270987509,Andaman and Nicobar
89,2018,2,Others,368,359838.50537474576,Andaman and Nicobar
90,2018,3,Recharge & bill payments,8636,4343504.868377829,Andaman and Nicobar
91,2018,3,Peer-to-peer payments,6448,49270781.541635044,Andaman and Nicobar
92,2018,3,Merchant payments,945,1627359.8394868043,Andaman and Nicobar
93,2018,3,Financial Services,42,1481.4907042806485,Andaman and Nicobar
94,2018,3,Others,194,314343.39410715323,Andaman and Nicobar
95,2018,4,Recharge & bill payments,11517,5450549.512294375,Andaman and Nicobar
96,2018,4,Peer-to-peer payments,10451,81001456.97825177,Andaman and Nicobar
97,2018,4,Merchant payments,1421,3552027.735492656,Andaman and Nicobar
98,2018,4,Financial Services,29,76035.7877393286,Andaman and Nicobar
99,2018,4,Others,340,468266.0606770435,Andaman and Nicobar
100,2022,1,Merchant payments,139788772,81798208975.87326,Tamil Nadu
101,2022,1,Peer-to-peer payments,119383791,409631710258.4541,Tamil Nadu
102,2022,1,Recharge & bill payments,34579431,20705079141.096962,Tamil Nadu
103,2022,1,Financial Services,241201,298216135.377552,Tamil Nadu
104,2022,1,Others,579955,355987089.8306444,Tamil Nadu
105,2022,2,Merchant payments,179245529,100813133534.0309,Tamil Nadu
