,Year,Quater,registeredUsers,appOpenings,state_name
0,2022,1,76288,3847407,Andaman and Nicobar
1,2022,2,80530,5180013,Andaman and Nicobar
2,2022,3,84642,6068354,Andaman and Nicobar
3,2022,4,88442,4354093,Andaman and Nicobar
4,2019,1,18596,0,Andaman and Nicobar
5,2019,2,21731,52640,Andaman and Nicobar
6,2019,3,23931,171107,Andaman and Nicobar
7,2019,4,25960,177012,Andaman and Nicobar
8,2021,1,57758,1004336,Andaman and Nicobar
9,2021,2,62095,2248223,Andaman and Nicobar
10,2021,3,66982,3121625,Andaman and Nicobar
11,2021,4,71780,2112910,Andaman and Nicobar
12,2020,1,28368,193586,Andaman and Nicobar
13,2020,2,32710,305072,Andaman and Nicobar
14,2020,3,41335,515565,Andaman and Nicobar
15,2020,4,52396,887208,Andaman and Nicobar
16,2018,1,6740,0,Andaman and Nicobar
17,2018,2,9405,0,Andaman and Nicobar
18,2018,3,12149,0,Andaman and Nicobar
19,2018,4,15222,0,Andaman and Nicobar
20,2022,1,21667020,638490275,Tamil Nadu
21,2022,2,22829720,740265406,Tamil Nadu
22,2022,3,24019964,866738343,Tamil Nadu
23,2022,4,25136112,1229187623,Tamil Nadu
24,2019,1,6296303,0,Tamil Nadu
25,2019,2,7429609,33658961,Tamil Nadu
26,2019,3,8428835,124690342,Tamil Nadu
27,2019,4,9620493,155011717,Tamil Nadu
28,2021,1,16632608,348801714,Tamil Nadu
29,2021,2,17804542,343968474,Tamil Nadu
30,2021,3,19127440,459826734,Tamil Nadu
31,2021,4,20433142,685861440,Tamil Nadu
32,2020,1,10872368,179908753,Tamil Nadu
33,2020,2,12150786,144907447,Tamil Nadu
34,2020,3,13643451,194683284,Tamil Nadu
35,2020,4,15357586,288233552,Tamil Nadu
36,2018,1,2104754,0,Tamil Nadu
37,2018,2,2996036,0,Tamil Nadu
38,2018,3,3900177,0,Tamil Nadu
39,2018,4,5199878,0,Tamil Nadu
40,2022,1,5990,45410,Lakshadweep
41,2022,2,6327,38450,Lakshadweep
42,2022,3,6645,18111,Lakshadweep
43,2022,4,6961,72377,Lakshadweep
44,2019,1,1416,0,Lakshadweep
45,2019,2,1747,4580,Lakshadweep
46,2019,3,2117,15038,Lakshadweep
47,2019,4,2427,17760,Lakshadweep
48,2021,1,4577,47283,Lakshadweep
49,2021,2,4896,40301,Lakshadweep
50,2021,3,5287,49127,Lakshadweep
51,2021,4,5638,67320,Lakshadweep
52,2020,1,2772,21982,Lakshadweep
53,2020,2,3187,29202,Lakshadweep
54,2020,3,3644,32128,Lakshadweep
55,2020,4,4179,41144,Lakshadweep
56,2018,1,501,0,Lakshadweep
57,2018,2,686,0,Lakshadweep
58,2018,3,918,0,Lakshadweep
59,2018,4,1156,0,Lakshadweep
60,2022,1,22150612,1168864524,Andhra Pradesh
61,2022,2,23314363,1276259370,Andhra Pradesh
62,2022,3,24506111,1255597644,Andhra Pradesh
63,2022,4,25656381,1731228513,Andhra Pradesh
64,2019,1,7963425,0,Andhra Pradesh
65,2019,2,9046007,80842302,Andhra Pradesh
66,2019,3,10090557,318124511,Andhra Pradesh
67,2019,4,11220691,399239044,Andhra Pradesh
68,2021,1,17149069,920040042,Andhra Pradesh
69,2021,2,18306880,905317692,Andhra Pradesh
70,2021,3,19615278,1107529197,Andhra Pradesh
71,2021,4,20917649,1407599392,Andhra Pradesh
72,2020,1,12306860,454723816,Andhra Pradesh
73,2020,2,13378191,367130505,Andhra Pradesh
74,2020,3,14590882,527781925,Andhra Pradesh
75,2020,4,15927797,764614235,Andhra Pradesh
76,2018,1,3315560,0,Andhra Pradesh
77,2018,2,4260115,0,Andhra Pradesh
78,2018,3,5138501,0,Andhra Pradesh
79,2018,4,6529679,0,Andhra Pradesh
80,2022,1,411900,22637747,Manipur
81,2022,2,434563,26236900,Manipur
82,2022,3,457063,26011343,Manipur
83,2022,4,477292,12462732,Manipur
84,2019,1,99527,0,Manipur
85,2019,2,117747,464829,Manipur
86,2019,3,136316,1594205,Manipur
87,2019,4,155358,1855488,Manipur
88,2021,1,312668,3709227,Manipur
89,2021,2,335409,7269002,Manipur
90,2021,3,361749,9743772,Manipur
